TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3
Polygon,390544,390544,1,Monumento naturale Grotte di Falvaterra e Rio Obaco,Monumento naturale Grotte di Falvaterra e Rio Obaco,Altre Aree Naturali Protette Regionali,Other Protected Natural Regional Areas,National,III,Not Applicable,0,0,0,1.33,1.33822765912,Not Applicable,0,Designated,2007,Federal or national ministry or agency,Not Reported,Ministero dell'Ambiente e della Tutela del Territorio e del Mare,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,390528,390528,1,Riserva naturale regionale orientata del Litorale Tarantino Orientale,Riserva naturale regionale orientata del Litorale Tarantino Orientale,Riserva naturale regionale/provinciale,Regional/Provincial Nature Reserve,National,IV,Not Applicable,0,0,0,11.13,10.9330926813,Not Applicable,0,Designated,2002,Federal or national ministry or agency,Not Reported,Amministrazione Regionale/Provinciale,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,390529,390529,1,Riserva naturale regionale orientata Bosco di Cerano,Riserva naturale regionale orientata Bosco di Cerano,Riserva naturale regionale/provinciale,Regional/Provincial Nature Reserve,National,IV,Not Applicable,0,0,0,9.86,9.84552130625,Not Applicable,0,Designated,2002,Federal or national ministry or agency,Not Reported,Amministrazione Regionale/Provinciale,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,390530,390530,1,Riserva naturale regionale orientata Palude del Conte e Duna costiera - Porto Cesareo,Riserva naturale regionale orientata Palude del Conte e Duna costiera - Porto Cesareo,Riserva naturale regionale/provinciale,Regional/Provincial Nature Reserve,National,V,Not Applicable,0,0,0,8.78,9.24889125313,Not Applicable,0,Designated,2006,Federal or national ministry or agency,Not Reported,Amministrazione Regionale/Provinciale,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,390531,390531,1,Riserva naturale regionale orientata Palude La Vela,Riserva naturale regionale orientata Palude La Vela,Riserva naturale regionale/provinciale,Regional/Provincial Nature Reserve,National,IV,Not Applicable,0,0,0,1.16,1.15976154236,Not Applicable,0,Designated,2006,Federal or national ministry or agency,Not Reported,Amministrazione Regionale/Provinciale,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,390538,390538,1,Acquaviva - Cima del Monte - Quercia del Monaco,Acquaviva - Cima del Monte - Quercia del Monaco,Altre Aree Naturali Protette Regionali,Other Protected Natural Regional Areas,National,V,Not Applicable,0,0,0,2.4,2.73584477934,Not Applicable,0,Designated,2004,Federal or national ministry or agency,Not Reported,Ministero dell'Ambiente e della Tutela del Territorio e del Mare,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,390532,390532,1,Riserva naturale regionale orientata dei Laghi di Conversano e Gravina di Monsignore,Riserva naturale regionale orientata dei Laghi di Conversano e Gravina di Monsignore,Riserva naturale regionale/provinciale,Regional/Provincial Nature Reserve,National,IV,Not Applicable,0,0,0,3.48,3.50604386884,Not Applicable,0,Designated,2006,Federal or national ministry or agency,Not Reported,Amministrazione Regionale/Provinciale,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,390533,390533,1,Riserva naturale Il Bogatto,Riserva naturale Il Bogatto,Riserva naturale regionale/provinciale,Regional/Provincial Nature Reserve,National,IV,Not Applicable,0,0,0,5.86,5.88236286303,Not Applicable,0,Designated,2008,Federal or national ministry or agency,Not Reported,Amministrazione Regionale/Provinciale,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,390540,390540,1,Monumento naturale Bosco del Sasseto,Monumento naturale Bosco del Sasseto,Altre Aree Naturali Protette Regionali,Other Protected Natural Regional Areas,National,III,Not Applicable,0,0,0,0.61,0.7201648243,Not Applicable,0,Designated,2006,Federal or national ministry or agency,Not Reported,Ministero dell'Ambiente e della Tutela del Territorio e del Mare,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,390541,390541,1,Monumento naturale Forre di Corchiano,Monumento naturale Forre di Corchiano,Altre Aree Naturali Protette Regionali,Other Protected Natural Regional Areas,National,III,Not Applicable,0,0,0,0.42,0.422192980712,Not Applicable,0,Designated,2008,Federal or national ministry or agency,Not Reported,Ministero dell'Ambiente e della Tutela del Territorio e del Mare,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,390545,390545,1,Monumento naturale Corviano,Monumento naturale Corviano,Altre Aree Naturali Protette Regionali,Other Protected Natural Regional Areas,National,III,Not Applicable,0,0,0,0.46,0.725515542675,Not Applicable,0,Designated,2007,Federal or national ministry or agency,Not Reported,Ministero dell'Ambiente e della Tutela del Territorio e del Mare,Not Reported,State Verified,1839,Not Reported,ITA,ITA
