id,name,highway,public_tra,operator,shelter,bus,route_ref,network,bench,wheelchair,amenity,railway,website,train,covered,line,route,alt_name,ferry,contact_we,opening_ho,contact_ph,email,contact_mo,station,aeroway,contact_em,contact_fa,official_n,lat,lon,COD_RIP,COD_REG,COD_PROV,COD_CM,COD_PCM,DEN_PROV,DEN_CM,DEN_PCM,SIGLA,Shape_Leng,Shape_Area
2489191085.00000,Ponte Palermo - Palermo Brücke,bus_stop,,SASA,,,6,,,,,,,,,,,,,,,,,,,,,,,46.4840303,11.3320931,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489191086.00000,Parkplatz Nusser - Parcheggio Nusser,bus_stop,,SASA,,,225,,,,,,,,,,,,,,,,,,,,,,,46.6493006,11.2178589,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489191087.00000,Parkplatz Nusser - Parcheggio Nusser,bus_stop,,SASA,,,225,,,,,,,,,,,,,,,,,,,,,,,46.6502606,11.2171828,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489191088.00000,Via Piacenza - Piacenza Straße,bus_stop,,SASA,,,16,,,,,,,,,,,,,,,,,,,,,,,46.4871456,11.32167,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489191090.00000,Leiterhof,bus_stop,platform,SASA,,,,,,,,,,,,,,,,,,,,,,,,,,46.6790942,11.1672894,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489191091.00000,Petrarca Straße - Via Petrarca,bus_stop,,SASA,,,2,,,,,,,,,,,,,,,,,,,,,,,46.6663519,11.1596739,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489191092.00000,Maso della Pieve - Pfarrhof,bus_stop,,SASA,yes,,"10A;110",,,,,,,,,,,,,,,,,,,,,,,46.4695728,11.3355156,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489191093.00000,Birti,bus_stop,,SASA,,,VAD_LAIV,,,,,,,,,,,,,,,,,,,,,,,46.4063614,11.29905,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489191094.00000,Ponte di Vadena - Pfattenbrücke,bus_stop,,SASA,,,VAD_LAIV,,,,,,,,,,,,,,,,,,,,,,,46.4138347,11.3152969,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489191095.00000,Ponte di Vadena - Pfattenbrücke,bus_stop,,SASA,,,VAD_LAIV,,,,,,,,,,,,,,,,,,,,,,,46.4138594,11.3153689,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
